,model,tokenizer,vectorizer,ngram,random_state,data_type,accuracy,dem_precision,rep_precision,dem_recall,rep_recall,null_accuracy,lift
0,LogisticRegression,NLTK,Count,"(1, 1)",10,Clean,0.8503099410729318,0.8625727039091032,0.8343320408882623,0.8715320486538198,0.823304347826087,0.5599602050968088,1.5185185185185184
1,MultinomialNB,NLTK,Count,"(1, 1)",10,Clean,0.8402081579551542,0.8466127535463344,0.8314627081824765,0.8727620609539428,0.7987826086956522,0.5599602050968088,1.5004783381167146
2,RidgeClassifier,NLTK,Count,"(1, 1)",10,Clean,0.8265860564781511,0.8399515412572351,0.808974813763746,0.8528085280852808,0.7932173913043479,0.5599602050968088,1.4761514281809485
3,BernoulliNB,NLTK,Count,"(1, 1)",10,Clean,0.8366113109359455,0.8586655592469546,0.809344514804039,0.8477518108514418,0.8224347826086956,0.5599602050968088,1.4940549405494055
4,RandomForestClassifier,NLTK,Count,"(1, 1)",10,Clean,0.7932960893854749,0.7585125448028673,0.8683256825320126,0.9255159218258849,0.6250434782608696,0.5599602050968088,1.4167008336750035
5,LogisticRegression,NLTK,Count,"(1, 1)",11,Clean,0.8404377439351037,0.8533135775862069,0.823498139287613,0.8641385895512208,0.8101464435146444,0.561031606336573,1.4980220979402539
6,MultinomialNB,NLTK,Count,"(1, 1)",11,Clean,0.8355399096961812,0.8398478488982162,0.8295057872496785,0.8734142681762379,0.7871338912133892,0.561031606336573,1.4892920474696494
7,RidgeClassifier,NLTK,Count,"(1, 1)",11,Clean,0.828422744317747,0.8422326832548755,0.8101917613636364,0.8541808757331878,0.7955020920502092,0.561031606336573,1.4766061928795526
8,BernoulliNB,NLTK,Count,"(1, 1)",11,Clean,0.8369939542358613,0.8541468064823642,0.8149895178197065,0.8555449461192197,0.8132845188284519,0.561031606336573,1.49188378120311
9,RandomForestClassifier,NLTK,Count,"(1, 1)",11,Clean,0.7890870130864008,0.7569935962251433,0.8576572251560249,0.9191106261083072,0.622907949790795,0.561031606336573,1.406492975037512
10,LogisticRegression,NLTK,Count,"(1, 1)",12,Clean,0.8402846866151373,0.8520591763294683,0.8244069015097053,0.8674355495251017,0.8051606108478147,0.5640162240759165,1.4898236092265942
11,MultinomialNB,NLTK,Count,"(1, 1)",12,Clean,0.8376061835157267,0.8437254388263034,0.8290079145959874,0.8739484396200814,0.7905915394067052,0.5640162240759165,1.4850746268656716
12,RidgeClassifier,NLTK,Count,"(1, 1)",12,Clean,0.8258972985383026,0.838358347722141,0.8089563019140484,0.8564450474898236,0.7863787958574688,0.5640162240759165,1.464314789687924
13,BernoulliNB,NLTK,Count,"(1, 1)",12,Clean,0.8316369480370399,0.8540125992878663,0.8032957502168256,0.8461329715061058,0.8128839740214148,0.5640162240759165,1.4744911804613297
14,RandomForestClassifier,NLTK,Count,"(1, 1)",12,Clean,0.7880921405066197,0.758396046276536,0.8515850144092219,0.916146540027137,0.6224328593996841,0.5640162240759165,1.3972862957937584
