,model,tokenizer,vectorizer,ngram,random_state,data_type,accuracy,dem_precision,rep_precision,dem_recall,rep_recall,null_accuracy,lift
0,MultinomialNB,NTLK,Count,"(1, 1)",1,Clean,0.8330144639167368,0.8398534606829778,0.823377581120944,0.8701369120238579,0.7848857644991213,0.5645519246957986,1.4755320591026162
1,RandomForestClassifier,NTLK,Count,"(1, 1)",1,Clean,0.7906941149460472,0.761845667870036,0.8515346181299072,0.9154127694184628,0.6289982425307558,0.5645519246957986,1.400569337128914
2,LogisticRegression,NTLK,Count,"(1, 1)",1,Clean,0.8391367567153899,0.8506847493684351,0.8234763793725207,0.867290226379287,0.8026362038664323,0.5645519246957986,1.4863765758438388
3,MultinomialNB,NTLK,Count,"(1, 1)",2,Clean,0.8355399096961812,0.8334202294056309,0.8385542168674699,0.8801101169993117,0.7797311271975181,0.5559807147776843,1.5028217481073638
4,RandomForestClassifier,NTLK,Count,"(1, 1)",2,Clean,0.7850309941072932,0.7477758007117438,0.867239263803681,0.9255333792154163,0.609100310237849,0.5559807147776843,1.4119752236751546
5,LogisticRegression,NTLK,Count,"(1, 1)",2,Clean,0.8411265018749522,0.8497102035314732,0.8298512747875354,0.8677219545767377,0.8078248879696657,0.5559807147776843,1.512869924294563
6,MultinomialNB,NTLK,Count,"(1, 2)",1,Clean,0.8449529348741104,0.8370071797455599,0.8572542901716068,0.9007726718178121,0.7725834797891037,0.5645519246957986,1.4966788667480004
7,RandomForestClassifier,NTLK,Count,"(1, 2)",1,Clean,0.7834238922476467,0.752751528627015,0.8511787819253438,0.9178527856852379,0.6091388400702987,0.5645519246957986,1.387691473498712
8,LogisticRegression,NTLK,Count,"(1, 2)",1,Clean,0.8525292722124436,0.8611184733633713,0.8407897120086941,0.8808458723058153,0.8158172231985941,0.5645519246957986,1.5100989562152636
9,MultinomialNB,NTLK,Count,"(1, 2)",2,Clean,0.8430397183745313,0.8292498105582218,0.8642454845601087,0.903785271851342,0.7669769045156842,0.5559807147776843,1.5163110805230557
10,RandomForestClassifier,NTLK,Count,"(1, 2)",2,Clean,0.7815106757480677,0.7447280799112098,0.8631994084298743,0.9236063317274604,0.6035849706997587,0.5559807147776843,1.405643496214728
11,LogisticRegression,NTLK,Count,"(1, 2)",2,Clean,0.8490089538532181,0.8505564387917329,0.8468925529987317,0.8836889194769443,0.8055842812823164,0.5559807147776843,1.527047487955953
12,MultinomialNB,NTLK,TFIDF,"(1, 1)",1,Clean,0.8018672993035892,0.7620976571053207,0.8942283244342741,0.9436085129456419,0.6181019332161687,0.5645519246957986,1.4203605801816457
13,RandomForestClassifier,NTLK,TFIDF,"(1, 1)",1,Clean,0.7828881916277646,0.7558034708136128,0.8402098735988552,0.9091771722922597,0.6191564147627416,0.5645519246957986,1.3867425782838552
14,LogisticRegression,NTLK,TFIDF,"(1, 1)",1,Clean,0.8319430626769725,0.8356874433069846,0.8265420560747664,0.8742036058018164,0.7771528998242531,0.5645519246957986,1.473634268672902
15,MultinomialNB,NTLK,TFIDF,"(1, 1)",2,Clean,0.79850003826433,0.7521227955584585,0.9082710641587219,0.9509979353062629,0.6075491209927611,0.5559807147776843,1.4362009635237438
16,RandomForestClassifier,NTLK,TFIDF,"(1, 1)",2,Clean,0.7824290196678656,0.7478699551569506,0.8567639257294429,0.9182381280110117,0.6123750430885901,0.5559807147776843,1.4072952512044046
17,LogisticRegression,NTLK,TFIDF,"(1, 1)",2,Clean,0.8301829034973598,0.8250450914712703,0.8377002827521206,0.8814865794907089,0.7659427783522923,0.5559807147776843,1.4931865106675841
18,MultinomialNB,NTLK,TFIDF,"(1, 2)",1,Clean,0.7504400397949031,0.6989174560216509,0.946343256155825,0.9802087569472685,0.45254833040421794,0.5645519246957986,1.3292666395553747
19,RandomForestClassifier,NTLK,TFIDF,"(1, 2)",1,Clean,0.7750057396494987,0.7454364420843014,0.8413604766633564,0.9133794225294836,0.5956063268892794,0.5645519246957986,1.3727802629795307
20,LogisticRegression,NTLK,TFIDF,"(1, 2)",1,Clean,0.8327083492768041,0.8294199771544613,0.8377023901310717,0.8858614612986309,0.7637961335676625,0.5645519246957986,1.4749898332655549
21,MultinomialNB,NTLK,TFIDF,"(1, 2)",2,Clean,0.7389607407974287,0.6851460415065335,0.9496051147047763,0.9815554026152787,0.4351947604274388,0.5559807147776843,1.329112181693049
22,RandomForestClassifier,NTLK,TFIDF,"(1, 2)",2,Clean,0.7719445932501722,0.7364529301401611,0.8522216674987518,0.9185134205092911,0.5884177869700103,0.5559807147776843,1.3884377150722642
23,LogisticRegression,NTLK,TFIDF,"(1, 2)",2,Clean,0.8258207698783194,0.8142083385816854,0.843798751950078,0.8897453544390915,0.7457773181661496,0.5559807147776843,1.4853406744666207
24,MultinomialNB,SPACY,Count,"(1, 1)",1,Clean,0.8412795591949185,0.8492032134861056,0.830288637194008,0.8740680493425512,0.7987697715289982,0.5645519246957986,1.4901721567032669
25,RandomForestClassifier,SPACY,Count,"(1, 1)",1,Clean,0.811586439121451,0.7935730498148369,0.8436967632027257,0.9005015588992815,0.6963093145869947,0.5645519246957986,1.4375762505083367
26,LogisticRegression,SPACY,Count,"(1, 1)",1,Clean,0.8408203872350195,0.8516797238082592,0.8260476878612717,0.8694591297275315,0.8036906854130053,0.5645519246957986,1.489358817947675
27,MultinomialNB,SPACY,Count,"(1, 1)",2,Clean,0.8458712787939083,0.845961259718013,0.8457466228550566,0.8836889194769443,0.7985177524991383,0.5559807147776843,1.521403991741225
28,RandomForestClassifier,SPACY,Count,"(1, 1)",2,Clean,0.8143414708808449,0.79259886322409,0.8518132555231347,0.9021335168616655,0.7044122716304723,0.5559807147776843,1.4646937370956639
29,LogisticRegression,SPACY,Count,"(1, 1)",2,Clean,0.8428866610545649,0.8475593491597759,0.8365954390375292,0.874741913282863,0.8029989658738366,0.5559807147776843,1.5160357880247761
