,model,tokenizer,vectorizer,ngram,random_state,data_type,accuracy,dem_precision,rep_precision,dem_recall,rep_recall,null_accuracy,lift
0,LogisticRegression,NLTK,Count,"(1, 1)",16,Clean,0.8399020433152216,0.8505134017869049,0.8256106321839081,0.8678731800244931,0.8039524309199021,0.56240912221627,1.493400462647979
1,LogisticRegression,NLTK,Count,"(1, 1)",17,Clean,0.8384479987755414,0.8527640208807389,0.8193352394567548,0.8630452451910051,0.8065083553210203,0.5649345679957144,1.4841506366838255
2,LogisticRegression,NLTK,Count,"(1, 1)",18,Clean,0.8393663426953394,0.8554086862692204,0.8183265522731293,0.8606323788845163,0.8118638118638118,0.5639396954159333,1.4883973402089836
3,LogisticRegression,NLTK,Count,"(1, 1)",19,Clean,0.8409734445549858,0.8633473143011771,0.8118393234672304,0.8566250503423278,0.8202207191171236,0.5700619882145863,1.4752315747080145
4,LogisticRegression,NLTK,Count,"(1, 1)",20,Clean,0.84059080125507,0.8552595814079913,0.8216850586792783,0.8607577622760224,0.8149756775538568,0.5595010331369098,1.5023936533989877
5,LogisticRegression,NLTK,Count,"(1, 2)",16,Clean,0.8488558965332517,0.8577896138482024,0.8367824365664928,0.8765818478704586,0.8132214060860441,0.56240912221627,1.5093209960538847
6,LogisticRegression,NLTK,Count,"(1, 2)",17,Clean,0.8487028392132854,0.8623139831076552,0.8305991440798859,0.8713085884584123,0.819349164467898,0.5649345679957144,1.5023028989433758
7,LogisticRegression,NLTK,Count,"(1, 2)",18,Clean,0.8513048136527129,0.8609632783395423,0.8382273464240677,0.878138146288506,0.8166023166023166,0.5639396954159333,1.5095671054417152
8,LogisticRegression,NLTK,Count,"(1, 2)",19,Clean,0.8529119155123593,0.8700950850408464,0.83,0.8721976104175057,0.8273406906372375,0.5700619882145863,1.4961739830849778
9,LogisticRegression,NLTK,Count,"(1, 2)",20,Clean,0.8487028392132854,0.8603080248581464,0.8335392762577228,0.8710162768431131,0.8203613620569841,0.5595010331369098,1.5168923539871426
10,LogisticRegression,NLTK,TFIDF,"(1, 1)",16,Clean,0.8311777760771409,0.8305694819385525,0.8320726172465961,0.8791672336372296,0.7694998251136761,0.56240912221627,1.4778881480473534
11,LogisticRegression,NLTK,TFIDF,"(1, 1)",17,Clean,0.8298002601974439,0.8332041343669251,0.8248545147362493,0.8736114874017882,0.7729111697449428,0.5649345679957144,1.468843131942563
12,LogisticRegression,NLTK,TFIDF,"(1, 1)",18,Clean,0.8319430626769725,0.8343891402714932,0.8283945986496624,0.8758311846926313,0.7751842751842751,0.5639396954159333,1.4752340887501696
13,LogisticRegression,NLTK,TFIDF,"(1, 1)",19,Clean,0.8349276804163159,0.8470619097586569,0.8179312878927062,0.8669620083232649,0.7924528301886793,0.5700619882145863,1.4646261243119882
14,LogisticRegression,NLTK,TFIDF,"(1, 1)",20,Clean,0.8356164383561644,0.8384685984004195,0.8316176470588236,0.8747093420872658,0.7859624739402363,0.5595010331369098,1.4935029407741758
15,LogisticRegression,NLTK,TFIDF,"(1, 2)",16,Clean,0.8313308333971072,0.8262523779327837,0.8390582786568892,0.8865151721322629,0.7604057362714236,0.56240912221627,1.4781602939175398
16,LogisticRegression,NLTK,TFIDF,"(1, 2)",17,Clean,0.8287288589576797,0.8263131184978432,0.8324011571841852,0.8822812246003793,0.7591908531222515,0.5649345679957144,1.4669466269303713
17,LogisticRegression,NLTK,TFIDF,"(1, 2)",18,Clean,0.8259738271982857,0.8227543392879767,0.8308851952068033,0.8812593296241009,0.7544752544752544,0.5639396954159333,1.4646492061338037
