,model,tokenizer,vectorizer,ngram,random_state,data_type,accuracy,dem_precision,rep_precision,dem_recall,rep_recall,null_accuracy,lift
0,LogisticRegression,NTLK,Count,"(1, 2)",10,Clean,0.8545190173720059,0.8645665051157781,0.8412839155878702,0.8776821101544349,0.8250434782608695,0.5599602050968088,1.5260352603526035
1,LogisticRegressionCV,NTLK,Count,"(1, 2)",10,Clean,0.8549016606719216,0.8636790554139273,0.8432490203063769,0.8797321306546398,0.823304347826087,0.5599602050968088,1.5267186005193385
2,LogisticRegression,NTLK,Count,"(1, 2)",11,Clean,0.8523762148924773,0.8626476906552094,0.8387613454351308,0.8764152230255081,0.821652719665272,0.561031606336573,1.519301595962352
3,LogisticRegressionCV,NTLK,Count,"(1, 2)",11,Clean,0.8528353868523763,0.8627582506037027,0.8396579369321219,0.8772336652571273,0.821652719665272,0.561031606336573,1.520120038193971
4,LogisticRegression,NTLK,Count,"(1, 2)",12,Clean,0.849927297773016,0.8620966662203775,0.8336906037870668,0.8736770691994573,0.8192030893452694,0.5640162240759165,1.506919945725916
5,LogisticRegressionCV,NTLK,Count,"(1, 2)",12,Clean,0.8482436672533864,0.8610105883929768,0.8312522297538352,0.8716417910447761,0.8179743724767421,0.5640162240759165,1.50393487109905
6,LogisticRegression,NTLK,Count,"(1, 2)",13,Clean,0.8512282849927297,0.8601314201421483,0.8393939393939394,0.8768284347231715,0.8186717663421419,0.5598071477768424,1.5205741626794258
7,LogisticRegressionCV,NTLK,Count,"(1, 2)",13,Clean,0.8506925843728477,0.8595174262734584,0.8389513108614233,0.876555023923445,0.8178025034770514,0.5598071477768424,1.519617224880383
8,LogisticRegression,NTLK,Count,"(1, 2)",14,Clean,0.8513048136527129,0.8601465002712968,0.8398595258999122,0.8742589273404109,0.8226694186446508,0.5550623708578862,1.533710188887357
9,LogisticRegressionCV,NTLK,Count,"(1, 2)",14,Clean,0.8539833167521237,0.8625695292361959,0.842872191011236,0.8766027850544602,0.825765393876849,0.5550623708578862,1.5385357782986353
10,LogisticRegression,NTLK,Count,"(1, 2)",15,Clean,0.8549016606719216,0.8664086480715334,0.8394330821672049,0.8788412075267361,0.8237676056338028,0.5653172112956302,1.5122512521998106
11,LogisticRegressionCV,NTLK,Count,"(1, 2)",15,Clean,0.8531415014923088,0.8648251934881238,0.8374304683294456,0.8773521050494111,0.8216549295774648,0.5653172112956302,1.5091376742926763
12,LogisticRegression,NTLK,Count,"(1, 2)",16,Clean,0.8488558965332517,0.8577896138482024,0.8367824365664928,0.8765818478704586,0.8132214060860441,0.56240912221627,1.5093209960538847
13,LogisticRegressionCV,NTLK,Count,"(1, 2)",16,Clean,0.8485497818933191,0.8573329784402449,0.8366648658382856,0.8765818478704586,0.8125218607904862,0.56240912221627,1.508776704313512
14,LogisticRegression,NTLK,Count,"(1, 2)",17,Clean,0.8487028392132854,0.8623139831076552,0.8305991440798859,0.8713085884584123,0.819349164467898,0.5649345679957144,1.5023028989433758
15,LogisticRegressionCV,NTLK,Count,"(1, 2)",17,Clean,0.8495446544731001,0.862516733601071,0.8322315526174736,0.8727986995394202,0.819349164467898,0.5649345679957144,1.5037930100243835
16,LogisticRegression,NTLK,Count,"(1, 2)",18,Clean,0.8513048136527129,0.8609632783395423,0.8382273464240677,0.878138146288506,0.8166023166023166,0.5639396954159333,1.5095671054417152
17,LogisticRegressionCV,NTLK,Count,"(1, 2)",18,Clean,0.8505395270528813,0.8594372179453146,0.8384240014458703,0.8786809607816529,0.8141453141453141,0.5639396954159333,1.5082100692088478
18,LogisticRegression,NTLK,Count,"(1, 2)",19,Clean,0.8529119155123593,0.8700950850408464,0.83,0.8721976104175057,0.8273406906372375,0.5700619882145863,1.4961739830849778
19,LogisticRegressionCV,NTLK,Count,"(1, 2)",19,Clean,0.8526058008724268,0.8704225352112676,0.8289379900213828,0.8711236407571487,0.8280526877892489,0.5700619882145863,1.4956369982547995
20,LogisticRegression,NTLK,Count,"(1, 2)",20,Clean,0.8487028392132854,0.8603080248581464,0.8335392762577228,0.8710162768431131,0.8203613620569841,0.5595010331369098,1.5168923539871426
21,LogisticRegressionCV,NTLK,Count,"(1, 2)",20,Clean,0.8486263105533022,0.8610697359512526,0.8324533614924322,0.8697852550950622,0.8217512161223072,0.5595010331369098,1.5167555737929146
22,LogisticRegression,NTLK_tweet,Count,"(1, 2)",10,Clean,0.8529884441723425,0.8636118598382749,0.839029573224721,0.8757687576875769,0.824,0.5599602050968088,1.5233018996856635
23,LogisticRegressionCV,NTLK_tweet,Count,"(1, 2)",10,Clean,0.8502334124129487,0.8595385028172793,0.8378763584535899,0.8756320896542299,0.8179130434782609,0.5599602050968088,1.5183818504851716
24,LogisticRegression,NTLK_tweet,Count,"(1, 2)",11,Clean,0.8539833167521237,0.8637156270959088,0.8410548823948681,0.8783249215659528,0.8228730822873083,0.561031606336573,1.5221661437730187
25,LogisticRegressionCV,NTLK_tweet,Count,"(1, 2)",11,Clean,0.853677202112191,0.8641311651659723,0.839850693210096,0.877097258218524,0.823744769874477,0.561031606336573,1.521620515618606
26,LogisticRegression,NTLK_tweet,Count,"(1, 2)",12,Clean,0.853218030152292,0.8631761257660538,0.8397770185218486,0.8791044776119403,0.819729682288924,0.5640162240759165,1.512754409769335
27,LogisticRegressionCV,NTLK_tweet,Count,"(1, 2)",12,Clean,0.8501568837529655,0.8604155567394779,0.8363014930742939,0.8765264586160109,0.8160435316833421,0.5640162240759165,1.507327001356852
28,LogisticRegression,NTLK_tweet,Count,"(1, 2)",13,Clean,0.8532945588122752,0.8616992763334227,0.8421052631578947,0.8790157211209843,0.8205841446453408,0.5598071477768424,1.524265208475735
29,LogisticRegressionCV,NTLK_tweet,Count,"(1, 2)",13,Clean,0.8526823295324099,0.8618421052631579,0.8405410215340808,0.877511961722488,0.821105702364395,0.5598071477768424,1.5231715652768285
30,LogisticRegression,NTLK_tweet,Count,"(1, 2)",14,Clean,0.8522231575725109,0.8579499596448749,0.8446653648144861,0.8793602647180477,0.8183694530443757,0.5550623708578862,1.5353646766855096
31,LogisticRegressionCV,NTLK_tweet,Count,"(1, 2)",14,Clean,0.8493150684931506,0.8558728448275862,0.8406875775296828,0.8760512891217427,0.8159614723082216,0.5550623708578862,1.5301254653246932
32,LogisticRegression,NTLK_tweet,Count,"(1, 2)",15,Clean,0.853218030152292,0.8641630043947264,0.8384310903202591,0.8784350886692839,0.8204225352112676,0.5653172112956302,1.5092730472451605
33,LogisticRegressionCV,NTLK_tweet,Count,"(1, 2)",15,Clean,0.8519170429325783,0.8644385026737967,0.8351530338285306,0.8753215107621497,0.8214788732394366,0.5653172112956302,1.506971707052931
34,LogisticRegression,NTLK_tweet,Count,"(1, 2)",16,Clean,0.8525292722124436,0.8604094655676682,0.8418394950405771,0.8806640359232548,0.8163693599160545,0.56240912221627,1.5158524969383589
35,LogisticRegressionCV,NTLK_tweet,Count,"(1, 2)",16,Clean,0.8518405142725951,0.8591904445919044,0.8418293564714389,0.8809361817934412,0.8144456103532703,0.56240912221627,1.51462784052252
36,LogisticRegression,NTLK_tweet,Count,"(1, 2)",17,Clean,0.8482436672533864,0.8601734489659774,0.8321966977745873,0.8733405581143322,0.8156552330694811,0.5649345679957144,1.501490111081008
37,LogisticRegressionCV,NTLK_tweet,Count,"(1, 2)",17,Clean,0.8474783806535547,0.8593145752767035,0.8315373563218391,0.8729341641831482,0.8144239226033422,0.5649345679957144,1.500135464643728
38,LogisticRegression,NTLK_tweet,Count,"(1, 2)",18,Clean,0.8483967245733527,0.8571996817820207,0.8363800904977375,0.8773239245487855,0.810986310986311,0.5639396954159333,1.504410367756819
39,LogisticRegressionCV,NTLK_tweet,Count,"(1, 2)",18,Clean,0.8481671385934032,0.8561979097764254,0.8371459694989106,0.8782738499117927,0.8092313092313093,0.5639396954159333,1.5040032568869588
40,LogisticRegression,NTLK_tweet,Count,"(1, 2)",19,Clean,0.8533710874722583,0.8720914593140552,0.8286576704545454,0.8704524097194254,0.8307226771092916,0.5700619882145863,1.4969794603302458
41,LogisticRegressionCV,NTLK_tweet,Count,"(1, 2)",19,Clean,0.8514578709726792,0.8698630136986302,0.8270770325564846,0.8695126862666129,0.8275186899252402,0.5700619882145863,1.4936233051416299
42,LogisticRegression,NTLK_tweet,Count,"(1, 2)",20,Clean,0.8511517563327466,0.8624696028100514,0.8363636363636363,0.8732047599507591,0.8231410701876303,0.5595010331369098,1.5212693202024348
43,LogisticRegressionCV,NTLK_tweet,Count,"(1, 2)",20,Clean,0.8502334124129487,0.8609762675296656,0.8361351973102106,0.873341540144987,0.8208825573314802,0.5595010331369098,1.5196279578717002
44,LogisticRegression,SPACY,Count,"(1, 2)",10,Clean,0.854595546031989,0.8631183804799571,0.8432596291012838,0.8798687986879868,0.8224347826086956,0.5599602050968088,1.5261719283859505
45,LogisticRegressionCV,SPACY,Count,"(1, 2)",10,Clean,0.8557434759317364,0.8631987162342872,0.8457684737877975,0.8821921552548859,0.8220869565217391,0.5599602050968088,1.5282219488861555
46,LogisticRegression,SPACY,Count,"(1, 2)",11,Clean,0.853218030152292,0.8603381706829982,0.843592512598992,0.8814622834538263,0.8171199442119944,0.561031606336573,1.520802073386987
47,LogisticRegressionCV,SPACY,Count,"(1, 2)",11,Clean,0.853677202112191,0.8612185041994401,0.8435141933165649,0.8811894693766198,0.8185146443514645,0.561031606336573,1.521620515618606
48,LogisticRegression,SPACY,Count,"(1, 2)",12,Clean,0.8489324251932349,0.859254327563249,0.8349829044448444,0.8755766621438263,0.8144637528523785,0.5640162240759165,1.505156037991859
49,LogisticRegressionCV,SPACY,Count,"(1, 2)",12,Clean,0.849927297773016,0.8577854213520307,0.8391430646332607,0.8797829036635006,0.8113041951904512,0.5640162240759165,1.506919945725916
