,model,tokenizer,vectorizer,ngram,random_state,data_type,accuracy,dem_precision,rep_precision,dem_recall,rep_recall,null_accuracy,lift
0,MultinomialNB,NTLK,Count,"(1, 1)",10,Dirty,0.8232187954388919,0.8255950058525166,0.8198214949795463,0.8675686756867569,0.7667826086956522,0.5599602050968088,1.4701380347136805
1,LogisticRegression,NTLK,Count,"(1, 1)",10,Dirty,0.8375296548557435,0.849905685798976,0.8212577502214349,0.8621019543528768,0.8062608695652174,0.5599602050968088,1.4956949569495694
2,MultinomialNB,NTLK,Count,"(1, 1)",11,Dirty,0.8219943368791612,0.8218649517684887,0.8221844293272865,0.8716409766743964,0.7585425383542538,0.561031606336573,1.4651480016368845
3,LogisticRegression,NTLK,Count,"(1, 1)",11,Dirty,0.8327083492768041,0.8450704225352113,0.8162865288667142,0.8593643432001091,0.7986401673640168,0.561031606336573,1.4842449870413315
4,MultinomialNB,NTLK,Count,"(1, 1)",12,Dirty,0.8260503558582689,0.8273603082851638,0.8241196516471033,0.8739484396200814,0.7640863612427593,0.5640162240759165,1.4645861601085481
5,LogisticRegression,NTLK,Count,"(1, 1)",12,Dirty,0.8309481900971915,0.8450327583901591,0.8120973514674302,0.8575305291723202,0.7965595927681236,0.5640162240759165,1.473270013568521
6,MultinomialNB,NTLK,Count,"(1, 1)",13,Dirty,0.8219943368791612,0.8231636222308589,0.8203066566940912,0.8686261107313739,0.7626912378303199,0.5598071477768424,1.4683526999316474
7,LogisticRegression,NTLK,Count,"(1, 1)",13,Dirty,0.8316369480370399,0.847439206629534,0.8112513144058885,0.8527682843472317,0.8047635605006954,0.5598071477768424,1.4855775803144227
8,MultinomialNB,NTLK,Count,"(1, 1)",14,Dirty,0.8182444325399862,0.8174128058302967,0.819431543748839,0.8659864883496484,0.758685930512556,0.5550623708578862,1.4741486281538676
9,LogisticRegression,NTLK,Count,"(1, 1)",14,Dirty,0.8298767888574271,0.8394062078272605,0.8173943786459255,0.8575761753757066,0.7953216374269005,0.5550623708578862,1.4951054735971323
10,MultinomialNB,NTLK,Count,"(1, 1)",15,Dirty,0.8258207698783194,0.8291049581455248,0.8210109392682007,0.8715310680925951,0.7663732394366197,0.5653172112956302,1.460809530255855
11,LogisticRegression,NTLK,Count,"(1, 1)",15,Dirty,0.8331675212367031,0.850545307661236,0.8102836879432624,0.8551509408420198,0.8045774647887324,0.5653172112956302,1.473805333694328
12,MultinomialNB,NTLK,Count,"(1, 1)",16,Dirty,0.8170965026402388,0.8159001146642885,0.8188961287849751,0.8714110763369166,0.7472892619797132,0.56240912221627,1.4528507279902028
13,LogisticRegression,NTLK,Count,"(1, 1)",16,Dirty,0.8274278717379658,0.8396,0.8110292796838513,0.8568512722819431,0.7896117523609654,0.56240912221627,1.471220574227786
14,MultinomialNB,NTLK,Count,"(1, 1)",17,Dirty,0.8215351649192623,0.8247170781893004,0.8168588168588169,0.8687347602275806,0.7602462620932278,0.5649345679957144,1.4542129504199404
15,LogisticRegression,NTLK,Count,"(1, 1)",17,Dirty,0.8276574577179153,0.8436495176848875,0.8063537390683563,0.8530208615551341,0.7947229551451187,0.5649345679957144,1.4650501219181793
16,MultinomialNB,NTLK,Count,"(1, 1)",18,Dirty,0.8228361521389761,0.8244735490498203,0.8204205341920818,0.8713529651241688,0.76009126009126,0.5639396954159333,1.4590853575790474
17,LogisticRegression,NTLK,Count,"(1, 1)",18,Dirty,0.8298767888574271,0.8448137228625033,0.8099910793933988,0.85547564119962,0.7967707967707968,0.5639396954159333,1.4715700909214275
18,MultinomialNB,NTLK,Count,"(1, 1)",19,Dirty,0.8280401010178312,0.8354397730203765,0.8172407302842085,0.8696469324741576,0.772872908508366,0.5700619882145863,1.452543965632971
19,LogisticRegression,NTLK,Count,"(1, 1)",19,Dirty,0.8297237315374608,0.8546022264458322,0.797579372039993,0.845079876493489,0.8093627625489498,0.5700619882145863,1.455497382198953
20,MultinomialNB,NTLK,Count,"(1, 1)",20,Dirty,0.8270452284380501,0.8260813428018077,0.8284479518977828,0.8751196826699494,0.7659833217512161,0.5595010331369098,1.4781835590206538
21,LogisticRegression,NTLK,Count,"(1, 1)",20,Dirty,0.8299533175174103,0.8444564775957764,0.8110915492957746,0.8532348515934892,0.8003822098679638,0.5595010331369098,1.483381206401313
22,MultinomialNB,NTLK,Count,"(1, 2)",10,Dirty,0.8296472028774776,0.8209557432858404,0.8430685358255452,0.8898455651223179,0.7530434782608696,0.5599602050968088,1.4816181495148284
23,LogisticRegression,NTLK,Count,"(1, 2)",10,Dirty,0.8395959286752889,0.8508265018142723,0.8247422680412371,0.8652453191198579,0.8069565217391305,0.5599602050968088,1.4993849938499384
24,MultinomialNB,NTLK,Count,"(1, 2)",11,Dirty,0.8313308333971072,0.8206378986866791,0.848186119873817,0.8949665802755422,0.75,0.561031606336573,1.481789660346474
25,LogisticRegression,NTLK,Count,"(1, 2)",11,Dirty,0.8418917884747839,0.8531187122736419,0.8269779044903778,0.8675487655163007,0.8091004184100419,0.561031606336573,1.5006138316737145
26,MultinomialNB,NTLK,Count,"(1, 2)",12,Dirty,0.8306420754572588,0.8213885080393868,0.845360824742268,0.8941655359565808,0.7484641039143409,0.5640162240759165,1.4727272727272727
27,LogisticRegression,NTLK,Count,"(1, 2)",12,Dirty,0.8391367567153899,0.8509192645883293,0.8232332314331955,0.8666214382632293,0.8035808320168509,0.5640162240759165,1.487788331071913
28,MultinomialNB,NTLK,Count,"(1, 2)",13,Dirty,0.8252085405984542,0.8156606851549756,0.840133385641428,0.8885850991114149,0.7446105702364395,0.5598071477768424,1.474094326725906
29,LogisticRegression,NTLK,Count,"(1, 2)",13,Dirty,0.8406673299150532,0.8485413613960304,0.8300359712230215,0.8708133971291866,0.8023296244784422,0.5598071477768424,1.5017088174982913
30,MultinomialNB,NTLK,Count,"(1, 2)",14,Dirty,0.8252085405984542,0.8116141979179732,0.8464860620337652,0.8921825451537295,0.7416580667354661,0.5550623708578862,1.4866951606231906
31,LogisticRegression,NTLK,Count,"(1, 2)",14,Dirty,0.8408969158950027,0.8482767905223478,0.8311757403794999,0.868743968013236,0.806157550739594,0.5550623708578862,1.5149593271749622
32,MultinomialNB,NTLK,Count,"(1, 2)",15,Dirty,0.8375296548557435,0.8294117647058824,0.8503052984045696,0.8971165561120888,0.7600352112676056,0.5653172112956302,1.4815215919859213
33,LogisticRegression,NTLK,Count,"(1, 2)",15,Dirty,0.845259049514043,0.8578097905828999,0.8283662477558348,0.8705834574252065,0.8123239436619718,0.5653172112956302,1.4951942601868147
34,MultinomialNB,NTLK,Count,"(1, 2)",16,Dirty,0.8274278717379658,0.8157698983387057,0.8462307538492302,0.8953599129133215,0.7401189227002448,0.56240912221627,1.471220574227786
35,LogisticRegression,NTLK,Count,"(1, 2)",16,Dirty,0.8376061835157267,0.8472166865949249,0.8245487364620938,0.8677371070893999,0.7988807275271074,0.56240912221627,1.489318274595183
36,MultinomialNB,NTLK,Count,"(1, 2)",17,Dirty,0.8297237315374608,0.8211483372773696,0.8433902342199285,0.8931183960986182,0.7474054529463501,0.5649345679957144,1.468707667298835
37,LogisticRegression,NTLK,Count,"(1, 2)",17,Dirty,0.8383714701155582,0.8526498929336188,0.8193029490616622,0.8630452451910051,0.8063324538258575,0.5649345679957144,1.4840151720400974
38,MultinomialNB,NTLK,Count,"(1, 2)",18,Dirty,0.8323257059768884,0.8209769402429953,0.850629874025195,0.8986293934048039,0.7465777465777466,0.5639396954159333,1.4759126068666035
39,LogisticRegression,NTLK,Count,"(1, 2)",18,Dirty,0.8391367567153899,0.8522134545940886,0.8216457960644007,0.8647034875831184,0.8060723060723061,0.5639396954159333,1.4879902293391234
40,MultinomialNB,NTLK,Count,"(1, 2)",19,Dirty,0.8353868523762149,0.8312906453226613,0.8418457897850523,0.8923345415492012,0.759878960484158,0.5700619882145863,1.4654316015572562
41,LogisticRegression,NTLK,Count,"(1, 2)",19,Dirty,0.8370704828958445,0.8565683646112601,0.8111289459604066,0.8578332662102296,0.8095407618369527,0.5700619882145863,1.468385018123238
42,MultinomialNB,NTLK,Count,"(1, 2)",20,Dirty,0.835004209076299,0.8237658585604823,0.8525264394829613,0.8970045137464095,0.7562543432939541,0.5595010331369098,1.4924086992203527
43,LogisticRegression,NTLK,Count,"(1, 2)",20,Dirty,0.836381724955996,0.8476945826051888,0.8214285714285714,0.8625359048009849,0.8031619179986101,0.5595010331369098,1.4948707427164547
44,MultinomialNB,NTLK,TFIDF,"(1, 1)",10,Dirty,0.7895461850462998,0.7466781894782327,0.8937007874015748,0.9446494464944649,0.5921739130434782,0.5599602050968088,1.4100041000410004
45,LogisticRegression,NTLK,TFIDF,"(1, 1)",10,Dirty,0.8257442412183362,0.8282104714769472,0.8222304694748562,0.8690720240535739,0.7706086956521739,0.5599602050968088,1.4746480798141313
46,MultinomialNB,NTLK,TFIDF,"(1, 1)",11,Dirty,0.7883217264865692,0.746410450178128,0.8903785488958991,0.943118264902469,0.5904811715481172,0.561031606336573,1.40512890465148
47,LogisticRegression,NTLK,TFIDF,"(1, 1)",11,Dirty,0.8228361521389761,0.826222684703434,0.8179959100204499,0.8664575092074751,0.7670850767085077,0.561031606336573,1.4666484790615197
48,MultinomialNB,NTLK,TFIDF,"(1, 1)",12,Dirty,0.7949797199051044,0.7533210929906038,0.8962710084033614,0.94640434192673,0.5990872388976655,0.5640162240759165,1.409497964721845
49,LogisticRegression,NTLK,TFIDF,"(1, 1)",12,Dirty,0.8229892094589424,0.8282487342593795,0.8154362416107382,0.8656716417910447,0.7677725118483413,0.5640162240759165,1.4591587516960651
50,MultinomialNB,NTLK,TFIDF,"(1, 1)",13,Dirty,0.7885513124665187,0.7451001507645919,0.8952658026976991,0.9458646616541353,0.588490959666203,0.5598071477768424,1.4086124401913875
51,LogisticRegression,NTLK,TFIDF,"(1, 1)",13,Dirty,0.8226065661590266,0.8254526507750424,0.8185528756957329,0.8663021189336979,0.7670375521557719,0.5598071477768424,1.469446343130554
52,MultinomialNB,NTLK,TFIDF,"(1, 1)",14,Dirty,0.7817402617280171,0.73638414437641,0.8940926024481107,0.9451261546946091,0.5779153766769866,0.5550623708578862,1.408382738177306
