,model,tokenizer,vectorizer,ngram,random_state,data_type,accuracy,dem_precision,rep_precision,dem_recall,rep_recall,null_accuracy,lift
0,LogisticRegression,NLTK_tweet,Count,"(1, 1)",10,Clean,0.85413637407209,0.8670465337132004,0.8374297752808989,0.8734454011206779,0.8295652173913044,0.5599602050968088,1.5253519201858685
1,MultinomialNB,NLTK_tweet,Count,"(1, 1)",10,Clean,0.8457947501339251,0.8508470089994706,0.8388677191072401,0.8786387863878639,0.804,0.5599602050968088,1.5104551045510455
2,RidgeClassifier,NLTK_tweet,Count,"(1, 1)",10,Clean,0.8354633810361981,0.8467319822842572,0.8205128205128205,0.8622386223862238,0.8013913043478261,0.5599602050968088,1.4920049200492005
3,BernoulliNB,NLTK_tweet,Count,"(1, 1)",10,Clean,0.8413560878549017,0.8627559490868844,0.8148655591710909,0.8522618559518929,0.8274782608695652,0.5599602050968088,1.5025283586169196
4,LogisticRegression,NLTK_tweet,Count,"(1, 1)",11,Clean,0.8498507691130328,0.8639013148976549,0.8316344463971881,0.8693220570181421,0.8249651324965133,0.561031606336573,1.5148001636884465
5,MultinomialNB,NLTK_tweet,Count,"(1, 1)",11,Clean,0.8416622024948344,0.8459111227977912,0.835744369163157,0.8776428863729369,0.795676429567643,0.561031606336573,1.500204610557905
6,RidgeClassifier,NLTK_tweet,Count,"(1, 1)",11,Clean,0.8339328078365348,0.8449405159738003,0.8191908342284282,0.8622288910107762,0.797768479776848,0.561031606336573,1.4864274996589826
7,BernoulliNB,NLTK_tweet,Count,"(1, 1)",11,Clean,0.8412030305349353,0.8588203167667942,0.8187358523419815,0.8580002728140772,0.8197350069735007,0.561031606336573,1.4993861683262857
8,LogisticRegression,NLTK_tweet,Count,"(1, 1)",12,Clean,0.8451059921940767,0.8579271558650241,0.8280050008930167,0.8693351424694709,0.8137616289275057,0.5640162240759165,1.498371777476255
9,MultinomialNB,NLTK_tweet,Count,"(1, 1)",12,Clean,0.8425040177546491,0.8492898474487112,0.8330587589236683,0.8762550881953867,0.79884149552396,0.5640162240759165,1.4937584803256445
10,RidgeClassifier,NLTK_tweet,Count,"(1, 1)",12,Clean,0.8298002601974439,0.8409753511794328,0.814526353921391,0.8610583446404342,0.789362822538178,0.5640162240759165,1.4712347354138398
11,BernoulliNB,NLTK_tweet,Count,"(1, 1)",12,Clean,0.8375296548557435,0.8613138686131386,0.8077850499483293,0.8485753052917232,0.8232403019132877,0.5640162240759165,1.4849389416553596
12,LogisticRegression,NLTK_tweet,Count,"(1, 1)",13,Clean,0.8492385398331675,0.8625695292361959,0.8319873595505618,0.869172932330827,0.8238873435326843,0.5598071477768424,1.5170198222829803
13,MultinomialNB,NLTK_tweet,Count,"(1, 1)",13,Clean,0.8389071707354404,0.8435768926404642,0.8324521422060164,0.8743677375256322,0.7938108484005564,0.5598071477768424,1.4985645933014355
14,RidgeClassifier,NLTK_tweet,Count,"(1, 1)",13,Clean,0.8287288589576797,0.8424389585862674,0.8107534488857446,0.8537252221462748,0.7969401947148818,0.5598071477768424,1.4803827751196175
15,BernoulliNB,NLTK_tweet,Count,"(1, 1)",13,Clean,0.8366878395959286,0.8567690400771244,0.8115742335514985,0.8504442925495557,0.8191933240611962,0.5598071477768424,1.4946001367053998
16,LogisticRegression,NLTK_tweet,Count,"(1, 1)",14,Clean,0.8489324251932349,0.8585789974188289,0.8364879074658255,0.871363573693644,0.8209494324045408,0.5550623708578862,1.5294360954087964
17,MultinomialNB,NLTK_tweet,Count,"(1, 1)",14,Clean,0.837300068875794,0.8400318344608039,0.8335745296671491,0.8731559354749758,0.7925696594427245,0.5550623708578862,1.5084792499655317
18,RidgeClassifier,NLTK_tweet,Count,"(1, 1)",14,Clean,0.8264329991581847,0.8338914936369726,0.8164941092466976,0.8582655452916035,0.7867217062263502,0.5550623708578862,1.4889011443540605
19,BernoulliNB,NLTK_tweet,Count,"(1, 1)",14,Clean,0.8341623938164843,0.8521185267238992,0.8119760479041916,0.8484764924858679,0.8163054695562435,0.5550623708578862,1.5028264166551772
20,LogisticRegression,NLTK_tweet,Count,"(1, 1)",15,Clean,0.8477844952934874,0.8651244588744589,0.8251982378854625,0.865710031135779,0.8244718309859155,0.5653172112956302,1.4996615676187899
21,MultinomialNB,NLTK_tweet,Count,"(1, 1)",15,Clean,0.8444937629142114,0.8506876227897839,0.8357879234167894,0.8792473263841885,0.7992957746478874,0.5653172112956302,1.493840530661974
22,RidgeClassifier,NLTK_tweet,Count,"(1, 1)",15,Clean,0.832631820616821,0.8471295060080107,0.8131611977765824,0.8589413835115743,0.7984154929577465,0.5653172112956302,1.4728577230269393
23,BernoulliNB,NLTK_tweet,Count,"(1, 1)",15,Clean,0.8406673299150532,0.8617209873176054,0.8137425880711545,0.8554216867469879,0.8214788732394366,0.5653172112956302,1.4870718830377692
24,LogisticRegression,SPACY,Count,"(1, 1)",10,Clean,0.850386469732915,0.861808367071525,0.835425136998409,0.8727620609539428,0.8219130434782609,0.5599602050968088,1.5186551865518654
25,MultinomialNB,SPACY,Count,"(1, 1)",10,Clean,0.8474783806535547,0.8544607190412783,0.8380421090516466,0.8769987699876999,0.8099130434782609,0.5599602050968088,1.5134618012846794
26,RidgeClassifier,SPACY,Count,"(1, 1)",10,Clean,0.8297237315374608,0.8407387580299786,0.8150134048257373,0.8585485854858549,0.7930434782608695,0.5599602050968088,1.4817548175481754
27,BernoulliNB,SPACY,Count,"(1, 1)",10,Clean,0.8489324251932349,0.8562474996666222,0.8390804597701149,0.8775454421210879,0.8125217391304348,0.5599602050968088,1.5160584939182724
28,LogisticRegression,SPACY,Count,"(1, 1)",11,Clean,0.8480906099334201,0.8608261339092873,0.8314189786181304,0.8698676851725549,0.8202580195258019,0.561031606336573,1.511662801800573
29,MultinomialNB,SPACY,Count,"(1, 1)",11,Clean,0.8440345909543124,0.8505762352629488,0.8350851757883291,0.8758695948710954,0.803347280334728,0.561031606336573,1.5044332287546038
30,RidgeClassifier,SPACY,Count,"(1, 1)",11,Clean,0.8284992729777302,0.8385208832136206,0.8149216074968463,0.8599099713545219,0.7883542538354253,0.561031606336573,1.4767425999181558
31,BernoulliNB,SPACY,Count,"(1, 1)",11,Clean,0.8426570750746154,0.8484608270577355,0.8346671516915242,0.8760060019096986,0.8000348675034867,0.561031606336573,1.5019779020597464
32,LogisticRegression,SPACY,Count,"(1, 1)",12,Clean,0.8389836993954236,0.8512540021344717,0.8224735236043799,0.8658073270013569,0.8042829559417237,0.5640162240759165,1.487516960651289
33,MultinomialNB,SPACY,Count,"(1, 1)",12,Clean,0.845259049514043,0.8535166578529878,0.8339087770307105,0.8759837177747626,0.805511672810251,0.5640162240759165,1.4986431478968791
34,RidgeClassifier,SPACY,Count,"(1, 1)",12,Clean,0.8253615979184205,0.8352662098049551,0.8116444606680051,0.8599728629579376,0.7805862734772687,0.5640162240759165,1.4633649932157395
35,BernoulliNB,SPACY,Count,"(1, 1)",12,Clean,0.845259049514043,0.8537037037037037,0.833666242963501,0.8757123473541384,0.8058627347726873,0.5640162240759165,1.4986431478968791
36,LogisticRegression,SPACY,Count,"(1, 1)",13,Clean,0.8428101323945818,0.8566779661016949,0.8248418833450457,0.8637047163362953,0.8162378303198887,0.5598071477768424,1.5055365686944637
37,MultinomialNB,SPACY,Count,"(1, 1)",13,Clean,0.8420448457947501,0.8489964110062475,0.8326118326118326,0.8731373889268627,0.8025034770514604,0.5598071477768424,1.5041695146958307
38,RidgeClassifier,SPACY,Count,"(1, 1)",13,Clean,0.8239840820387235,0.8405541219611571,0.8025946704067322,0.8460697197539303,0.7958970792767733,0.5598071477768424,1.4719070403280932
39,BernoulliNB,SPACY,Count,"(1, 1)",13,Clean,0.8421213744547333,0.8488310308182784,0.8330023469940423,0.8735475051264525,0.8021557719054242,0.5598071477768424,1.504306220095694
40,LogisticRegression,SPACY,Count,"(1, 1)",14,Clean,0.8419683171347669,0.850730124391563,0.8305413507317934,0.8675031021646216,0.8101135190918473,0.5550623708578862,1.5168895629394734
41,MultinomialNB,SPACY,Count,"(1, 1)",14,Clean,0.8395959286752889,0.8429312408564968,0.8350757029560202,0.8738453053908728,0.7968696250429996,0.5550623708578862,1.5126154694609129
42,RidgeClassifier,SPACY,Count,"(1, 1)",14,Clean,0.822376980179077,0.8293269230769231,0.8130489335006273,0.8561974355439128,0.7801857585139319,0.5550623708578862,1.4815938232455537
43,BernoulliNB,SPACY,Count,"(1, 1)",14,Clean,0.8392898140353563,0.8434875349953339,0.8336327703916637,0.8723286915758997,0.7980736154110767,0.5550623708578862,1.5120639735281955
44,LogisticRegression,SPACY,Count,"(1, 1)",15,Clean,0.8450294635340935,0.8615156418554477,0.823394089541674,0.8648977934208745,0.8191901408450705,0.5653172112956302,1.4947881413293624
45,MultinomialNB,SPACY,Count,"(1, 1)",15,Clean,0.8454121068340094,0.8540704578440428,0.8334548104956269,0.8762691214295384,0.805281690140845,0.5653172112956302,1.495465006091783
46,RidgeClassifier,SPACY,Count,"(1, 1)",15,Clean,0.8271982857580163,0.8408879436395055,0.8086219336219336,0.8563692974143766,0.7892605633802817,0.5653172112956302,1.4632462434005686
47,BernoulliNB,SPACY,Count,"(1, 1)",15,Clean,0.8465600367337568,0.8565182829888712,0.8329407501358942,0.8751861378096656,0.8093309859154929,0.5653172112956302,1.4974956003790443
